slug,sector,name,alternate_name,canonical_name_ar,canonical_name_en,city,district,short_address,branch_group,branch_label,reference_url,category,google_rating,google_reviews_count,price_level,work_friendly,group_friendly,late_night,family_friendly,indoor_seating,outdoor_seating,parking,quietness,crowd_level,specialty_coffee,desserts,official_instagram,phone,hours_summary,editorial_summary,place_personality,best_visit_time,why_choose_it,not_for_whom,confidence,status,duplicate_of,archive_reason,last_verified_at,last_updated_at,source_notes
nora-coffee,cafes,نورا كافي,NORA COFFEE,نورا كافي,NORA COFFEE,بريدة,غير متحقق,طريق علي بن أبي طالب,nora-coffee,ali-bin-abi-talib,https://www.google.com/maps/place/%D9%86%D9%88%D8%B1%D8%A7+%D9%83%D8%A7%D9%81%D9%8A+%7C+NORA+COFFEE%E2%80%AD/data=!4m7!3m6!1s0x157f597142d5c3bf:0x5be2e671e830715!8m2!3d26.3853738!4d43.9610442!16s%2Fg%2F11tk19r386!19sChIJv8PVQnFZfxURFQeDHmcuvgU?authuser=0&hl=ar&rclk=1,كافيه,4.5,203,20–40 ر.س.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,Coverage-first record added in Expansion Round 1; awaits enrichment later.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 1 from Google Maps discovery queue | Cleaning pass: normalized garbled text where confidently recoverable
person-cafe,cafes,بيرسون,PERSON,بيرسون,PERSON,بريدة,غير متحقق,شارع الإمام مسلم,person-cafe,imam-muslim,https://www.google.com/maps/place/%D8%A8%D9%8A%D8%B1%D8%B3%D9%88%D9%86+%7C+PERSON%E2%80%AD/data=!4m7!3m6!1s0x157f59ba55555555:0xdd977824287546d7!8m2!3d26.3765849!4d43.9706104!16s%2Fg%2F11kvplxhhd!19sChIJVVVVVbpZfxUR10Z1KCR4l90?authuser=0&hl=ar&rclk=1,كافيه,3.9,181,1–20 ر.س.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,Coverage-first record added in Expansion Round 1; awaits enrichment later.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 1 from Google Maps discovery queue | Cleaning pass: normalized garbled text where confidently recoverable
rahbah-cafe,cafes,رحبة,Rahbah,رحبة,Rahbah,بريدة,غير متحقق,شارع قرطبة,rahbah-cafe,qurtubah,https://www.google.com/maps/place/%D8%B1%D8%AD%D8%A8%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x157f57ef77ea4633:0x724c35f576a12368!8m2!3d26.4083465!4d43.9013262!16s%2Fg%2F11x08mw61h!19sChIJM0bqd-9XfxURaCOhdvU1THI?authuser=0&hl=ar&rclk=1,كافيه,4.6,168,20–40 ر.س.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,Coverage-first record added in Expansion Round 1; awaits enrichment later.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 1 from Google Maps discovery queue | Cleaning pass: normalized garbled text where confidently recoverable
bait-alsultanah-cafe,cafes,كافيه بيت السلطانة,Bait AlSultanah Cafe,كافيه بيت السلطانة,Bait AlSultanah Cafe,بريدة,غير متحقق,الأمير فيصل بن بندر بن عبدالعزيز,bait-alsultanah-cafe,prince-faisal-bin-bandar,https://www.google.com/maps/place/%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D8%A8%D9%8A%D8%AA+%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A7%D9%86%D9%87%E2%80%AD/data=!4m7!3m6!1s0x157f597c168f70f7:0x667d14c0908b6e84!8m2!3d26.3537002!4d43.9529567!16s%2Fg%2F11jzchcrmf!19sChIJ93CPFnxZfxURhG6LkMAUfWY?authuser=0&hl=ar&rclk=1,كافيه,4.5,158,1–20 ر.س.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,Coverage-first record added in Expansion Round 1; awaits enrichment later.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 1 from Google Maps discovery queue | Cleaning pass: normalized garbled text where confidently recoverable
coffee-way,cafes,كوفي وي,Coffee Way,كوفي وي,Coffee Way,بريدة,غير متحقق,غير متحقق,coffee-way,unknown,https://www.google.com/maps/place/%D9%83%D9%88%D9%81%D9%8A+%D9%88%D9%8A+Coffee+Way%E2%80%AD/data=!4m7!3m6!1s0x157f59bc537df337:0xb505fe472342678f!8m2!3d26.3960361!4d43.958657!16s%2Fg%2F11x_347lhn!19sChIJN_N9U7xZfxURj2dCI0f-BbU?authuser=0&hl=ar&rclk=1,كافيه,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,Coverage-first record added in Expansion Round 1; awaits enrichment later.,,,,,low,discovered,,,,2026-03-11,Expansion Round 1 from Google Maps links only | Cleaning pass: normalized garbled text where confidently recoverable
rmd-coffee,cafes,كوفي رمد,RMD coffee,كوفي رمد,RMD coffee,بريدة,غير متحقق,غير متحقق,rmd-coffee,unknown,https://www.google.com/maps/place/%D9%83%D9%88%D9%81%D9%8A+%D8%B1%D9%85%D8%AF+%7C+RMD+coffee%E2%80%AD/data=!4m7!3m6!1s0x157f59005b4758d3:0xbb45d4721fd9b290!8m2!3d26.3589925!4d43.9775972!16s%2Fg%2F11yxt4t2lc!19sChIJ01hHWwBZfxURkLLZH3LURbs?authuser=0&hl=ar&rclk=1,كافيه,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,Coverage-first record added in Expansion Round 1; awaits enrichment later.,,,,,low,discovered,,,,2026-03-11,Expansion Round 1 from Google Maps links only | Cleaning pass: normalized garbled text where confidently recoverable
footing-cafe,cafes,Footing cafe,Footing cafe,Footing cafe,Footing cafe,بريدة,غير متحقق,غير متحقق,footing-cafe,unknown,https://www.google.com/maps/place/Footing+cafe/data=!4m7!3m6!1s0x157f59ef1266fac5:0xd3b61f93bda2d980!8m2!3d26.3636328!4d43.9674497!16s%2Fg%2F11v0z306l7!19sChIJxfpmEu9ZfxURgNmivZMfttM?authuser=0&hl=ar&rclk=1,كافيه,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,Coverage-first record added in Expansion Round 1; awaits enrichment later.,,,,,low,discovered,,,,2026-03-11,Expansion Round 1 from Google Maps links only | Cleaning pass: normalized garbled text where confidently recoverable
lah-coffee,cafes,قهوة لاح,Lah Coffee,قهوة لاح,Lah Coffee,بريدة,غير متحقق,غير متحقق,lah-coffee,unknown,https://www.google.com/maps/place/%D9%82%D9%87%D9%88%D8%A9+%D9%84%D8%A7%D8%AD%E2%80%AD/data=!4m7!3m6!1s0x157f59c7960457ab:0x6d9ac08ce7da4bed!8m2!3d26.3828257!4d43.9753577!16s%2Fg%2F11ytv_72tw!19sChIJq1cElsdZfxUR7Uva54zAmm0?authuser=0&hl=ar&rclk=1,كافيه,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,Coverage-first record added in Expansion Round 1; awaits enrichment later.,,,,,low,discovered,,,,2026-03-11,Expansion Round 1 from Google Maps links only | Cleaning pass: normalized garbled text where confidently recoverable
yazeen-cafe,cafes,يازين كافيه,Yazeen Cafe,يازين كافيه,Yazeen Cafe,بريدة,النهضة,طريق الملك عبدالله، حي النهضة، بريدة 52389,yazeen-cafe,nahdah,"https://www.google.com/maps/place/%D9%8A%D8%A7%D8%B2%D9%8A%D9%86+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/@26.4144984,43.9363522,17z/data=!4m10!1m2!2m1!1z2YPYp9mB2YrZh9in2Kog2KjYsdmK2K_YqQ!3m6!1s0x157f51e5486421fd:0x25bf41c5ba969d87!8m2!3d26.4144984!4d43.9363522!15sChnZg9in2YHZitmH2KfYqiDYqNix2YrYr9ipWhsiGdmD2KfZgdmK2YfYp9iqINio2LHZitiv2KmSAQtjb2ZmZWVfc2hvcJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNXNTVm96YUV4aU1FVjBWV3RvUldKRmRHcGpiRnBSVWtjNU5GTllZeEFC4AEA-gEECAAQSA!16s%2Fg%2F11shdt2jvr?entry=ttu",كافيه,4.7,747,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,055 399 9327,مفتوح حتى 4 ص,Coverage-first record added in Expansion Round 1 under wider intake threshold.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 1 coverage from Google Maps; added under broader inclusion threshold | Cleaning pass: normalized garbled text where confidently recoverable
bridge-cafe,cafes,بريدج,Bridge Cafe,بريدج,Bridge Cafe,بريدة,النهضة,طريق الملك عبدالله، حي النهضة، بريدة 52388,bridge-cafe,nahdah,https://www.google.com/maps/search/%D8%A8%D8%B1%D9%8A%D8%AF%D8%AC+%D8%A8%D8%B1%D9%8A%D8%AF%D8%A9,كافيه,4.6,1381,20?40 ?.?.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,055 098 8579,مفتوح حتى 3 ص,Coverage-first record added in Expansion Round 1 under wider intake threshold.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 1 coverage from Google Maps direct place panel | Cleaning pass: normalized garbled text where confidently recoverable
tora-cafe,cafes,تورا,Tora,تورا,Tora,بريدة,النهضة,طريق أبو بكر الصديق، حي النهضة، بريدة 52389,tora-cafe,nahdah,https://www.google.com/maps/search/%D8%AA%D9%88%D8%B1%D8%A7+%D8%A8%D8%B1%D9%8A%D8%AF%D8%A9,كافيه,4.6,598,20?40 ?.?.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,مفتوح حتى 3:30 ص,Coverage-first record added in Expansion Round 1 under wider intake threshold.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 1 coverage from Google Maps direct place panel | Cleaning pass: normalized garbled text where confidently recoverable
tlo-cafe-roastery,cafes,محمصة تلو كافيه,Tlo Cafe Roastery,محمصة تلو كافيه,Tlo Cafe Roastery,بريدة,غير متحقق,بريدة 52389,tlo-cafe-roastery,al-jaziri,"https://www.google.com/maps/place/%D9%85%D8%AD%D9%85%D8%B5%D8%A9+%D8%AA%D9%84%D9%88+%D9%83%D8%A7%D9%81%D9%8A%D8%A9+%E2%80%A2+Tlo+Cafe+Roastery%E2%80%AD/@26.4137552,43.9312762,17z/data=!3m1!4b1!4m6!3m5!1s0x157f5700467f5ca1:0x86330a2692a494a7!8m2!3d26.4137552!4d43.9312762!16s%2Fg%2F11wmvh7qj1?entry=ttu",مقهى / محمصة,4.5,1217,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,,058 000 7011,مفتوح حتى 4 ص,Coverage-first record added in Expansion Round 1 under wider intake threshold.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 1 coverage from Google Maps direct place panel | Cleaning pass: normalized garbled text where confidently recoverable
brain-cafe,cafes,برين,Brain,برين,Brain,بريدة,الحزم,طريق النهضة، حي الحزم، بريدة 52261,brain-cafe,hazm,https://www.google.com/maps/search/%D8%A8%D8%B1%D9%8A%D9%86+%D8%A8%D8%B1%D9%8A%D8%AF%D8%A9,كافيه,4.0,1241,20?40 ?.?.,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,055 863 7716,مفتوح وقت التحقق,Coverage-first record added in Expansion Round 1 under wider intake threshold.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 1 coverage from Google Maps direct place panel | Cleaning pass: normalized garbled text where confidently recoverable
olga-cafe,cafes,أولقا,Olga,أولقا,Olga,بريدة,النهضة,طريق أبو بكر الصديق، حي النهضة، بريدة 52388,olga-cafe,nahdah,"https://www.google.com/maps/place/Olga+%7C+%D8%A7%D9%88%D9%84%D9%82%D8%A7%E2%80%AD/@26.4172274,43.9280723,17z/data=!3m1!4b1!4m6!3m5!1s0x157f57e988c9ba3b:0xb3caf068b44f9395!8m2!3d26.4172274!4d43.9280723!16s%2Fg%2F11y8tc50p5?entry=ttu",كافيه,4.5,391,20?40 ?.?.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,مفتوح حتى 4 ص,Coverage-first record added in Expansion Round 1 under wider intake threshold.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 1 coverage from Google Maps direct place panel | Cleaning pass: normalized garbled text where confidently recoverable
pard-cafe,cafes,PARD CAFE,PARD CAFE,PARD CAFE,PARD CAFE,بريدة,النهضة,حي النهضة، بريدة 52222,pard-cafe,nahdah,"https://www.google.com/maps/place/PARD+CAFE/@26.4158674,43.9287526,17z/data=!3m1!4b1!4m6!3m5!1s0x157f57edf96218e9:0xda3d3a4c43ac92a3!8m2!3d26.4158674!4d43.9287526!16s%2Fg%2F11rn7cvfkj?entry=ttu",كافيه,4.1,1290,20?40 ?.?.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,050 901 0869,يفتح الجمعة 6 ص,Coverage-first record added in Expansion Round 1 under wider intake threshold.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 1 coverage from Google Maps direct place panel | Cleaning pass: normalized garbled text where confidently recoverable
diniz-cafe,cafes,دينيز كافيه,Diniz Cafe,دينيز كافيه,Diniz Cafe,بريدة,النهضة,طريق الملك عبدالله، حي النهضة، بريدة 52388,diniz-cafe,nahdah,https://www.google.com/maps/search/%D8%AF%D9%8A%D9%86%D9%8A%D8%B2+%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D8%A8%D8%B1%D9%8A%D8%AF%D8%A9,كافيه,4.2,330,20?40 ?.?.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,050 751 9971,,Coverage-first record added with minimum viable fields.,,,,,medium,discovered,,,,2026-03-11,Expansion Round 1 coverage from Google Maps search result; kept light intentionally | Cleaning pass: normalized garbled text where confidently recoverable
bid-cafe,cafes,بِد,BID,بِد,BID,بريدة,النهضة,بريدة 52388,bid-cafe,nahdah,https://www.google.com/maps/search/%D8%A8%D9%90%D8%AF+%D8%A8%D8%B1%D9%8A%D8%AF%D8%A9,كافيه,4.2,699,20?40 ?.?.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,مفتوح حتى 3 ص,Coverage-first record added in Expansion Round 1 under wider intake threshold.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 1 coverage from Google Maps direct place panel | Cleaning pass: normalized garbled text where confidently recoverable
rtm-cafe,cafes,رتم,Rtm,رتم,Rtm,بريدة,النهضة,حي النهضة، بريدة,rtm-cafe,nahdah,https://www.google.com/maps/search/%D8%B1%D8%AA%D9%85+Buraidah,كافيه,4.7,519,20?40 ?.?.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,050 785 2070,مفتوح حتى 4 ص,Coverage-first record added in Expansion Round 1 under wider intake threshold.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 1 coverage from Google Maps direct place panel | Cleaning pass: normalized garbled text where confidently recoverable
tarbeeat-baloot-cafe,cafes,تربيعة بلوت,Tarbeeat Baloot,تربيعة بلوت,Tarbeeat Baloot,بريدة,النهضة,طريق الملك عبدالله، حي النهضة، بريدة 52388,tarbeeat-baloot-cafe,nahdah,"https://www.google.com/maps/place/%D8%AA%D8%B1%D8%A8%D9%8A%D8%B9%D8%A9+%D8%A8%D9%84%D9%88%D8%AA%E2%80%AD/@26.4134626,43.9251205,17z/data=!3m1!4b1!4m6!3m5!1s0x157f57ed1be46243:0xf0bc9bf939570479!8m2!3d26.4134626!4d43.9251205!16s%2Fg%2F11rkjkcmyp?entry=ttu",كافيه,4.1,205,1?20 ?.?.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,مفتوح حتى 5 ص,Coverage-first record added with minimum viable fields.,,,,,medium,discovered,,,,2026-03-11,Expansion Round 1 coverage from Google Maps place panel; kept as light record despite niche positioning | Cleaning pass: normalized garbled text where confidently recoverable
qisal-cafe-abdulaziz-fahd-al-rashoudi,cafes,قصال كافيه,Qisal Cafe,قصال كافيه,Qisal Cafe,بريدة,غير متحقق,طريق عبدالعزيز فهد الرشودي,qisal-cafe,abdulaziz-fahd-al-rashoudi,"https://www.google.com/maps/search/%D9%82%D8%B5%D8%A7%D9%84+%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D8%A8%D8%B1%D9%8A%D8%AF%D8%A9%E2%80%AD/@26.3923004,43.9229567,14z/data=!3m1!4b1?entry=ttu",كافيه,4.7,218,1?20 ?.?.,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,مفتوح وقت التحقق,أحد فرعي قصال في بريدة. السجل محتفظ به مستقلاً لأن صفحة البحث تشير إلى أكثر من فرع دون حسم أوضح.,,,,,medium,branch_conflict,,,,2026-03-11,Expansion Round 1 multi-branch Google Maps result | Cleaning pass 2: branch label retained pending direct branch confirmation
qisal-cafe-abdulaziz-bin-musaed-bin-jalawi,cafes,قصال كافيه,Qisal Cafe,قصال كافيه,Qisal Cafe,بريدة,غير متحقق,شارع عبدالعزيز بن مساعد بن جلوي,qisal-cafe,abdulaziz-bin-musaed-bin-jalawi,"https://www.google.com/maps/search/%D9%82%D8%B5%D8%A7%D9%84+%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D8%A8%D8%B1%D9%8A%D8%AF%D8%A9%E2%80%AD/@26.3923004,43.9229567,14z/data=!3m1!4b1?entry=ttu",كافيه,4.6,30,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,مفتوح وقت التحقق,فرع قصال إضافي محتمل في بريدة، أبقيناه منفصلاً لتجنّب دمج غير آمن بين فروع متشابهة.,,,,,low,branch_conflict,,,,2026-03-11,Expansion Round 1 multi-branch Google Maps result | Cleaning pass 2: branch label retained pending direct branch confirmation
nahrawan-cafe,cafes,نهروان كافيه,Nahrawan Cafe,نهروان كافيه,Nahrawan Cafe,بريدة,الصفراء,طريق الأمير نايف بن عبدالعزيز، حي الصفراء,nahrawan-cafe,safra,https://www.google.com/maps/search/%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D9%86%D9%87%D8%B1%D9%88%D8%A7%D9%86+%D8%A8%D8%B1%D9%8A%D8%AF%D8%A9,كافيه,4.4,77,1?20 ?.?.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,يفتح 8:30 ص,????? coverage ????? ????? ???? ?? ?? ??????? ?? ?? ???? ????? ????.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 2 coverage from Google Maps search results | Cleaning pass: normalized garbled text where confidently recoverable
al-montasaf-cafe,cafes,المنتصف,Al Montasaf,المنتصف,Al Montasaf,بريدة,الصفراء,حي الصفراء,al-montasaf-cafe,safra,https://www.google.com/maps/search/%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%B5%D9%81+%D8%A8%D8%B1%D9%8A%D8%AF%D8%A9,كافيه,4.6,340,1?20 ?.?.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,يفتح الجمعة 6 ص,??? coverage ???? ????? ???? ???? ????? ?? ?????? ?????? ????? ??????? ????.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 2 coverage from Google Maps search results | Cleaning pass: normalized garbled text where confidently recoverable
corner-coffee-safra,cafes,كورنر كوفي,Corner Coffee,كورنر كوفي,Corner Coffee,بريدة,الصفراء,حي الصفراء، بريدة,corner-coffee,safra,https://www.google.com/maps/search/%D9%83%D9%88%D8%B1%D9%86%D8%B1+%D9%83%D9%88%D9%81%D9%8A+%D8%A8%D8%B1%D9%8A%D8%AF%D8%A9,مقهى / قهوة مختصة,4.7,131,1?20 ?.?.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,مفتوح حتى 4 ص,???? ???? coverage ???? ???? ???? ????? ???? ????? ???? ???? ?????? ???????.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 2 coverage from Google Maps search results | Cleaning pass: normalized garbled text where confidently recoverable
sigma-caffe-safra,cafes,سيجما كافيه,Sigma Caffe,سيجما كافيه,Sigma Caffe,بريدة,الصفراء,الصفراء,sigma-caffe,safra,https://www.google.com/maps/search/%D8%B3%D8%AC%D9%85%D8%A7+%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D8%A8%D8%B1%D9%8A%D8%AF%D8%A9,كافيه,4.1,151,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,مفتوح حتى 3 ص,??? ????? ???? ????? ??? ????? ??????? ??? ?????? ???? ???? ????.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 2 coverage from Google Maps search results | Cleaning pass: normalized garbled text where confidently recoverable
arabica-star,cafes,أرابيكا ستار,Arabica Star,أرابيكا ستار,Arabica Star,بريدة,غير متحقق,طريق الملك فهد,arabica-star,king-fahd,https://www.google.com/maps/search/%D8%A7%D8%B1%D8%A7%D8%A8%D9%8A%D9%83%D8%A7+%D8%B3%D8%AA%D8%A7%D8%B1+%D8%A8%D8%B1%D9%8A%D8%AF%D8%A9,كافيه,4.2,349,1?20 ?.?.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,مفتوح وقت التحقق,????? coverage ????? ??? ???? ????? ??? ??????? ????? ??????? ???????.,,,,,medium,profiled,,,,2026-03-11,Expansion Round 2 coverage from Google Maps search results | Cleaning pass: normalized garbled text where confidently recoverable
khudair-cafe,cafes,خضير,Khudair,خضير,Khudair,بريدة,غير متحقق,حي السالمية,khudair-cafe,main,"https://www.google.com/maps/search/?api=1&query=26.3753102,43.982523",كافيه / مقهى,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,???? ????? ????? ?? ????? ????? ??? coverage-first ??? ???? ?????.,,,,,medium,discovered,,,,2026-03-11,Expansion Round 3 coverage-first intake from OSM/Google Maps pin references | Cleaning pass: normalized garbled text where confidently recoverable
rest-cafe-abu-bakr,cafes,ريست كافيه,Rest Cafe,ريست كافيه,Rest Cafe,بريدة,غير متحقق,طريق أبو بكر الصديق,rest-cafe,abu-bakr,"https://www.google.com/maps/search/?api=1&query=26.3620002,43.9504049",كافيه / مقهى,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,???? ???? ??? ???? ??? ??? ????? ?????? ??? ?????? ????? ????.,,,,,medium,discovered,,,,2026-03-11,Expansion Round 3 coverage-first intake from OSM/Google Maps pin references | Cleaning pass: normalized garbled text where confidently recoverable
nistro-cafe,cafes,نيسترو,Nistro,نيسترو,Nistro,بريدة,غير متحقق,طريق الملك عبدالعزيز,nistro-cafe,main,"https://www.google.com/maps/search/?api=1&query=26.3630165,43.9401753",كافيه / مقهى,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,??? coverage ???? ???? ???? ???? ????? ?? master.,,,,,medium,discovered,,,,2026-03-11,Expansion Round 3 coverage-first intake from OSM/Google Maps pin references | Cleaning pass: normalized garbled text where confidently recoverable
nai-women-cafe,cafes,ناي كافيه نسائي,Nai Women Cafe,ناي كافيه نسائي,Nai Women Cafe,بريدة,غير متحقق,طريق أبو بكر الصديق,nai-cafe,women,"https://www.google.com/maps/search/?api=1&query=26.3639518,43.9492486",كافيه / مقهى,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,????? ???? ???? ?????? ??????? ???? ????? ???????.,,,,,medium,discovered,,,,2026-03-11,Expansion Round 3 coverage-first intake from OSM/Google Maps pin references | Cleaning pass: normalized garbled text where confidently recoverable
zonice-buraidah-1,cafes,زونيس,Zonice,زونيس,Zonice,بريدة,غير متحقق,بريدة,zonice,branch-1,"https://www.google.com/maps/search/?api=1&query=26.3994845,43.9252382",كافيه / مقهى,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,Mo-Fr 09:00-24:00,إحدى نقاط Zonice في بريدة؛ ما زال التفريق الرسمي بين النقاط الثلاث غير محسوم، لذلك بقيت branch_conflict.,,,,,medium,branch_conflict,,,,2026-03-11,Expansion Round 3 coordinate intake | Cleaning pass 2: retained as branch_conflict after grouped review
zonice-buraidah-2,cafes,زونيس,Zonice,زونيس,Zonice,بريدة,غير متحقق,بريدة,zonice,branch-2,"https://www.google.com/maps/search/?api=1&query=26.3777652,43.9502001",كافيه / مقهى,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,Mo-Su 09:00-24:00,سجل نقطة ثانية لزونيس داخل بريدة، محفوظة منفصلة مؤقتًا لتجنّب دمج فروع متقاربة بلا توثيق كافٍ.,,,,,medium,branch_conflict,,,,2026-03-11,Expansion Round 3 coordinate intake | Cleaning pass 2: retained as branch_conflict after grouped review
zonice-buraidah-3,cafes,زونيس,Zonice,زونيس,Zonice,بريدة,غير متحقق,بريدة,zonice,branch-3,"https://www.google.com/maps/search/?api=1&query=26.375623,43.9359581",كافيه / مقهى,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,Mo-Sa 09:00-24:00,نقطة ثالثة محتملة لزونيس؛ بقيت branch_conflict لأن شبكة الفروع ما زالت غير محسومة على نحو آمن.,,,,,medium,branch_conflict,,,,2026-03-11,Expansion Round 3 coordinate intake | Cleaning pass 2: retained as branch_conflict after grouped review
qahwat-bash-specialty,cafes,قهوة باش المختصة,Qahwat Bash Specialty,قهوة باش المختصة,Qahwat Bash Specialty,بريدة,غير متحقق,بريدة,qahwat-bash,main,"https://www.google.com/maps/search/?api=1&query=26.4083543,43.9279608",كافيه / مقهى,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,??? ???? ????? ?????? ????? ?????? ??? coverage-first.,,,,,medium,discovered,,,,2026-03-11,Expansion Round 3 coverage-first intake from OSM/Google Maps pin references | Cleaning pass: normalized garbled text where confidently recoverable
cafe-van-houtte-buraidah,cafes,كافيه فان هوت,Cafe Van Houtte,كافيه فان هوت,Cafe Van Houtte,بريدة,غير متحقق,شارع البخاري,cafe-van-houtte,bukhari,"https://www.google.com/maps/search/?api=1&query=26.4002258,43.9174042",كافيه,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,????? ????? ????? ????? ???? ?????? ?? master ??????.,,,,,medium,discovered,,,,2026-03-11,Expansion Round 3 coverage-first intake from OSM/Google Maps pin references | Cleaning pass: normalized garbled text where confidently recoverable
eighty-plus-uthman,cafes,EIGHTY +,EIGHTY +,EIGHTY +,EIGHTY +,بريدة,غير متحقق,طريق عثمان بن عفان,eighty-plus,uthman,"https://www.google.com/maps/search/?api=1&query=26.4065469,43.9282725",كافيه / مقهى,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,???? ????? ???? ??? ???? ????? ????? ??????.,,,,,medium,discovered,,,,2026-03-11,Expansion Round 3 coverage-first intake from OSM/Google Maps pin references | Cleaning pass: normalized garbled text where confidently recoverable
